ID,Название товара,Цена товара,Количество товара
28409,"Огонек OG-LDG17 гирлянда LED Мультицвет (200 ламп,220В)  МЯТАЯ УПАКОВКА",320.63,811
13728,"Огонек OG-LDL01 набор LED лента RGB 5м (5050,IP65,блок,пульт) ",851.00,1016
34081,"Огонек OG-LDL02  набор LED лента RGB 5м (5050,IP20,блок,пульт) ",755.83,1578
34087,"Огонек OG-LDL03 набор LED лента RGB 10м (IP20,блок,пульт) ",1 141.14,1407
34072,Огонек OG-LDL04 Белая светодиодная лента 1м (датчик движения),305.84,776
34073,Огонек OG-LDL04 Теплый светодиодная лента 1м (датчик движения) ,305.84,754
34075,Огонек OG-LDL05 Белая светодиодная лента 3м (датчик движения) ,509.12,815
34074,Огонек OG-LDL05 Теплый светодиодная лента 3м (датчик движения) ,509.12,768
34056,Огонек OG-LDL09 RGB светодиодная лента 1м (USB),222.68,119
34079,"Огонек OG-LDL11 набор LED лента мультицвет SMD (1м,IP20,блок,пульт) ",347.42,1450
34084,"Огонек OG-LDL12 набор LED лента мультицвет SMD (2м,IP20,блок,пульт) ",380.69,668
34085,"Огонек OG-LDL13 набор LED лента мультицвет SMD (3м,IP20,блок,пульт) ",419.50,836
34080,"Огонек OG-LDL14 набор LED лента мультицвет SMD (5м,IP20,блок,пульт) ",427.81,1764
34083,"Огонек OG-LDL15 набор LED лента мультицвет SMD (2*5м,IP20,блок,пульт) ",712.40,2155
34088,"Огонек OG-LDL16 набор LED лента мультицвет SMD (3*5м,IP20,блок,пульт) ",1 041.35,2224
34089,Огонек OG-LDL17 RGB светодиодная лента 2*0.5м (USB) ,285.52,1251
34090,"Огонек OG-LDL18 RGB светодиодная лента 1м (WI-FI,USB)",707.78,243
35138,"Огонек OG-LDL21 LED контроллер (Wi-Fi,один цвет)",380.69,371
35140,"Огонек OG-LDL22 LED контроллер (Wi-Fi, RGB)",380.69,1324
35141,"Огонек OG-LDL23 LED контроллер (Wi-Fi, RGBW)",418.57,473
35143,"Огонек OG-LDL25 LED контроллер (Wi-Fi, RGB,пульт)",429.66,274
35144,"Огонек OG-LDL26 LED контроллер (Wi-Fi, 2*RGB,пульт)",632.02,378
35146,"Огонек OG-LDL27 LED контроллер (Wi-Fi, 2*RGB,пульт) ",429.66,456
35148,"Огонек OG-LDL29 LED контроллер (Wi-Fi, RGB)",670.82,105
35149,"Огонек OG-LDL30 LED контроллер (Wi-Fi, 2*RGB) ",890.74,159
38438,"Огонек OG-LDL37 Розовая фито-лента USB (0.5м, IP65)",91.48,2687
38439,"Огонек OG-LDL37 Розовая фито-лента USB (1м, IP65)",137.68,0
38440,"Огонек OG-LDL37 Розовая фито-лента USB (2м, IP65)",260.57,0
38441,"Огонек OG-LDL37 Розовая фито-лента USB (3м, IP65)",352.04,0
42395,"Огонек OG-LDL38 Розовая фито-лента USB (4м, IP65)",467.54,0
42396,"Огонек OG-LDL38 Розовая фито-лента USB (5м, IP65)",548.86,0
42188,"Огонек OG-LDL39 LED лента фейерверк RGB (50см*9, IP20)",849.16,284
42701,"Огонек OG-LDL39 LED лента фейерверк RGB (30см*9, IP20)",751.21,457
42184,"Огонек OG-LDL40 LED набор лента RGB 5м (2812,IP20,блок,пульт) ",1 031.18,608
42399,"Огонек OG-LDL40 LED набор лента RGB 2*5м (2812,IP20,блок,пульт) ",1 548.62,352
33870,"Огонек OG-LDP01 Белый холодный лампа аквариумная (6000К, 180 мм)",352.97,726
33871,"Огонек OG-LDP01 Теплый белый лампа аквариумная (3200К, 180 мм)",352.97,170
33872,"Огонек OG-LDP02 Белый холодный лампа аквариумная (6000К, 280 мм)",426.89,1473
33873,"Огонек OG-LDP02 Теплый белый лампа аквариумная (3200К, 280 мм)",426.89,493
33874,"Огонек OG-LDP03 RGB лампа аквариумная (пульт,180 мм)",596.90,465
33875,"Огонек OG-LDP04 RGB лампа аквариумная (пульт, 280 мм)",633.86,678
34121,Огонек OG-LDP05 лампа УФ+Озон бактерицидная (8Вт),411.18,0
34122,Огонек OG-LDP06 лампа УФ бактерицидная ручная (3Вт),540.54,1782
35064,Огонек OG-LDP07 Фито-лампа для растений штатив (40Вт),1 604.99,3510
39679,"Огонек OG-LDP09 Светодиодный светильник (77LED, IP65)",500.81,1466
39675,"Огонек OG-LDP10 Светодиодный светильник (40LED, IP65)",258.72,633
39614,"Огонек OG-LDP11 Светодиодный угловой светильник RGB (52см,USB)",1 266.80,287
39616,"Огонек OG-LDP11 Светодиодный угловой светильник RGB (102см,USB)",1 839.68,33
39617,"Огонек OG-LDP11 Светодиодный угловой светильник RGB (152см,USB)",2 299.84,0
39604,"Огонек OG-LDP12 Подсветка для зеркала (10шт,USB)",500.81,1057
39606,"Огонек OG-LDP13 Подсветка для зеркала (5шт,USB)",528.53,796
40784,Огонек OG-LDP14 лампа УФ+Озон бактерицидная (15Вт),616.31,0
42177,"Огонек OG-LDP18 Светильник настольный RGB (2*25см, USB)",876.88,272
42204,"Огонек OG-LDP19 Лампа аквариумная RGB (1 штука, APP, пульт)",868.56,0
42205,"Огонек OG-LDP19 Лампа аквариумная RGB (2 штуки, APP, пульт)",1 240.93,0
42763,"Огонек OG-LDP21 Белый ночник детский (аккум, 0.4Вт)",307.69,2464
42765,Огонек OG-LDP22 Светодиодный светильник (датчик движения),307.69,2528
42315,"Огонек OG-LDP23 Солевой светильник (RGB, USB)",545.16,0
42323,Огонек OG-LDP24 Светодиодный светильник уличный RGB (Wi-Fi) ,1 278.82,595
42842,"Огонек OG-LDP25 Холодный белый лампа для аквариума (10Вт, 220В)",397.32,0
