ID,Название товара,Цена товара,Количество товара
18038,"TDS TS-CAA38 сканер OBD (OBD2, V1.5, Bluetooth)",344.65,2859
18035,"TDS TS-CAA39 сканер OBD (OBD2, V2.1, Bluetooth)",300.30,1804
18037,"TDS TS-CAA40 сканер OBD (OBD2, V2.1, Bluetooth)",313.24,1429
37912,"TDS TS-CAA48 антенна GPS+ГЛОНАСС авто (SMA, 28дБ, 3м)",197.74,660
42834,TDS TS-CAA68 автоподсветка (15LED x4),394.55,2001
43545,"TDS TS-CAD01 Предохранитель для автоакустики (8AGU,12V,60A)",81.31,0
34377,TDS TS-CAF12 модулятор RGB (Bluetooth),403.79,462
39288,TDS TS-CAF15 модулятор RGB (Bluetooth),300.30,418
39292,TDS TS-CAF17 модулятор RGB (Bluetooth),289.21,0
7021,"TDS TS-CAS02 пульт универ. для ворот,шлагб. металл (433 МГц, 27А)",216.22,529
37648,"TDS TS-CAS06 пульт универ. для ворот,шлагб. (433 МГц, 27А)",199.58,502
37469,TDS TS-CAU46 Синий Разветвитель авто (Врезной),277.20,0
37467,TDS TS-CAU46 Зеленый Разветвитель авто (Врезной),255.95,0
37468,TDS TS-CAU46 Красный Разветвитель авто (Врезной),255.95,0
37466,TDS TS-CAU46 Белый Разветвитель авто (Врезной),255.95,0
41801,TDS TS-CAU56 Синий Разветвитель авто (Врезной),375.14,0
41799,TDS TS-CAU56 Зеленый Разветвитель авто (Врезной),375.14,0
41800,TDS TS-CAU56 Красный Разветвитель авто (Врезной),375.14,0
37487,TDS TS-CAU52 Зеленый Разветвитель авто (Врезной),510.97,79
37488,TDS TS-CAU52 Синий Разветвитель авто (Врезной),510.97,66
37486,TDS TS-CAU52 Красный Разветвитель авто (Врезной),510.97,87
37185,"TDS TS-CAV14 Черная камера авто (600ТВЛ, 12В)",508.20,0
37187,"TDS TS-CAV14 Серебро камера авто (600ТВЛ, 12В)",508.20,156
37186,"TDS TS-CAV14 Белая камера авто (600ТВЛ, 12В)",561.79,86
37188,"TDS TS-CAV15 камера авто (600ТВЛ, 12В) ",364.98,57
37191,"TDS TS-CAV16 камера авто (600ТВЛ, 12В)",344.65,187
37192,"TDS TS-CAV17 камера авто (600ТВЛ, 12В) ",364.98,276
37193,"TDS TS-CAV18 камера авто (600ТВЛ, 12В)",462.00,55
37200,"TDS TS-CAV20 камера авто (600ТВЛ, 12В)",319.70,219
42051,"TDS TS-CAV23 камера авто 4 pin (500ТВЛ, 12В)",385.31,997
42053,"TDS TS-CAV24 камера авто 4 pin (600ТВЛ, 12В)",548.86,282
42054,"TDS TS-CAV25 камера авто 4 pin (500ТВЛ, 12В)",388.08,405
42055,"TDS TS-CAV26 камера авто 4 pin (500ТВЛ, 12В)",388.08,0
19772,"UltraFire 18650 (4000mA, 3,7В) аккумулятор с защитой (УПАКОВКА 2ШТ)",349.27,380
19773,"UltraFire 18650 (4600mA, 3,7В) аккумулятор с защитой (УПАКОВКА 2ШТ)",410.26,718
37716,"Baofeng ЗУ для рации, стакан (UV-5R, USB)",202.36,0
21502,Орбита OT-PCK23 пигтейл (SMA-female-TS9) (УПАКОВКА 10шт),922.15,14
21499,Орбита OT-PCK13 пигтейл (F-female-CRC9) (УПАКОВКА 10шт),898.13,555
21501,Орбита OT-PCK24 пигтейл (SMA-female угловой-CRC9) (УПАКОВКА 10шт),922.15,224
31641,"Орбита 16340 (1200mA, 3.7В) аккумулятор (УПАКОВКА 10ШТ)",569.18,405
21498,Орбита OT-PCK12 пигтейл (SMA-female-CRC9) (УПАКОВКА 10шт),884.27,75
21496,Орбита OT-PCK14 пигтейл (F-female-TS9-male) (УПАКОВКА 10шт),850.08,60
42224,"Огонек OG-LDL41 LED контроллер DC 5-24В (Bluetooth, RGB)",105.34,548
42229,"Огонек OG-LDL42 LED контроллер DC 5-24В (Bluetooth, RGB)",145.07,729
42234,"Огонек OG-LDL43 LED контроллер DC 5-24В (Bluetooth, RGB)",115.50,287
42238,"Огонек OG-LDL44 LED контроллер DC 5-24В (Bluetooth, RGB)",145.07,421
42227,Огонек Пульт ДУ для OG-LDL41,89.63,855
42233,Огонек Пульт ДУ для OG-LDL42,97.02,912
42237,Огонек Пульт ДУ для OG-LDL43,83.16,742
42242,Огонек Пульт ДУ для OG-LDL44,97.02,865
37718,"Baofeng ЗУ для рации, стакан (UV-5R, 220V) (УПАКОВКА 5ШТ)",1 244.63,200
26219,Орбита OT-ERB08 наушники - гарнитура (bluetooth),298.45,1636
35161,Орбита OT-SMH16 платформа для 3D съемки (180мм),218.99,299
31772,"NB F80 кронштейн настольный для LCD/LED (17-30"")",2 420.88,24
